"LOCATION","Location","PLASTICS_POLYMER","Plastics polymer","PLASTICS_APPLICATIONS","Plastics applications","Value","Flag Codes","Flags"
"OAM","Other OECD America","OTHER","Other","OTHER","Other",1.024198885,,
"OAM","Other OECD America","LDPE_LLDPE","LDPE, LLDPE","OTHER","Other",0.16811306,,
"OAM","Other OECD America","HDPE","HDPE","OTHER","Other",0.132488033,,
"OAM","Other OECD America","PS","PS","OTHER","Other",0.061802197,,
"OAM","Other OECD America","PVC","PVC","OTHER","Other",0.209496912,,
"OAM","Other OECD America","PUR","PUR","OTHER","Other",0.171701682,,
"OAM","Other OECD America","FIBERS","Fibres","OTHER","Other",0.347093718,,
"OAM","Other OECD America","BIOPLASTICS","Bioplastics","OTHER","Other",0.008273956,,
"OAM","Other OECD America","ABS_ASA_SAN","ABS, ASA, SAN","OTHER","Other",0.023685863,,
"OAM","Other OECD America","OTHER","Other","PACKAGING","Packaging",0.057819438,,
"OAM","Other OECD America","LDPE_LLDPE","LDPE, LLDPE","PACKAGING","Packaging",1.254865428,,
"OAM","Other OECD America","HDPE","HDPE","PACKAGING","Packaging",1.15237103,,
"OAM","Other OECD America","PP","PP","PACKAGING","Packaging",1.337647376,,
"OAM","Other OECD America","PS","PS","PACKAGING","Packaging",0.22489444,,
"OAM","Other OECD America","PVC","PVC","PACKAGING","Packaging",0.137738258,,
"OAM","Other OECD America","PET","PET","PACKAGING","Packaging",0.878133404,,
"OAM","Other OECD America","PUR","PUR","PACKAGING","Packaging",0.012674437,,
"OAM","Other OECD America","BIOPLASTICS","Bioplastics","PACKAGING","Packaging",0.048484946,,
"OAM","Other OECD America","OTHER","Other","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.135805411,,
"OAM","Other OECD America","LDPE_LLDPE","LDPE, LLDPE","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.259041872,,
"OAM","Other OECD America","HDPE","HDPE","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.177988884,,
"OAM","Other OECD America","PP","PP","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.559353273,,
"OAM","Other OECD America","PS","PS","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.170846164,,
"OAM","Other OECD America","PVC","PVC","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.081774008,,
"OAM","Other OECD America","PUR","PUR","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.072344263,,
"OAM","Other OECD America","BIOPLASTICS","Bioplastics","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.005559512,,
"OAM","Other OECD America","ABS_ASA_SAN","ABS, ASA, SAN","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products",0.137356527,,
"OAM","Other OECD America","OTHER","Other","BUILDING_AND_CONSTRUCTION","Building & construction",0.047299724,,
"OAM","Other OECD America","LDPE_LLDPE","LDPE, LLDPE","BUILDING_AND_CONSTRUCTION","Building & construction",0.014936553,,
"OAM","Other OECD America","HDPE","HDPE","BUILDING_AND_CONSTRUCTION","Building & construction",0.045359565,,
"OAM","Other OECD America","PP","PP","BUILDING_AND_CONSTRUCTION","Building & construction",0.024285272,,
